hour,start_station_id,end_station_id,trip_count
2025-02-28T23:00:00,HB101,JC066,1
2025-02-28T23:00:00,HB506,JC024,1
2025-02-28T23:00:00,JC110,JC052,1
2025-02-28T23:00:00,JC116,JC115,1
2025-03-01T00:00:00,HB101,HB401,1
2025-03-01T00:00:00,HB102,HB305,1
2025-03-01T00:00:00,HB102,HB408,1
2025-03-01T00:00:00,HB102,HB501,1
2025-03-01T00:00:00,HB103,JC105,2
2025-03-01T00:00:00,HB105,HB201,1
2025-03-01T00:00:00,HB105,HB409,1
2025-03-01T00:00:00,HB105,JC057,1
2025-03-01T00:00:00,HB105,JC082,1
2025-03-01T00:00:00,HB202,HB201,2
2025-03-01T00:00:00,HB402,JC105,1
2025-03-01T00:00:00,HB404,HB501,1
2025-03-01T00:00:00,HB502,,1
2025-03-01T00:00:00,HB502,HB303,1
2025-03-01T00:00:00,HB502,HB506,1
2025-03-01T00:00:00,HB603,HB102,1
2025-03-01T00:00:00,HB603,HB305,1
2025-03-01T00:00:00,HB608,HB303,1
2025-03-01T00:00:00,HB609,,1
2025-03-01T00:00:00,JC003,JC052,1
2025-03-01T00:00:00,JC023,JC022,1
2025-03-01T00:00:00,JC035,JC109,1
2025-03-01T00:00:00,JC082,JC009,1
2025-03-01T00:00:00,JC103,JC053,1
2025-03-01T00:00:00,JC103,JC055,1
2025-03-01T00:00:00,JC105,JC065,1
2025-03-01T00:00:00,JC115,HB404,1
2025-03-01T00:00:00,JC115,JC078,2
2025-03-01T00:00:00,JC115,JC081,1
2025-03-01T00:00:00,JC115,JC082,1
2025-03-01T00:00:00,JC116,JC035,1
2025-03-01T01:00:00,HB101,HB105,1
2025-03-01T01:00:00,HB101,HB201,1
2025-03-01T01:00:00,HB103,HB303,1
2025-03-01T01:00:00,HB105,HB301,1
2025-03-01T01:00:00,HB105,JC057,1
2025-03-01T01:00:00,HB202,HB506,1
2025-03-01T01:00:00,HB203,HB506,1
2025-03-01T01:00:00,HB409,HB501,1
2025-03-01T01:00:00,HB409,JC104,1
2025-03-01T01:00:00,HB501,HB408,2
2025-03-01T01:00:00,HB608,HB404,1
2025-03-01T01:00:00,HB609,HB202,1
2025-03-01T01:00:00,JC003,JC038,1
2025-03-01T01:00:00,JC003,JC116,1
2025-03-01T01:00:00,JC009,JC022,1
2025-03-01T01:00:00,JC032,HB402,1
2025-03-01T01:00:00,JC055,JC115,1
2025-03-01T01:00:00,JC057,JC057,1
2025-03-01T01:00:00,JC082,HB402,1
2025-03-01T01:00:00,JC082,JC009,1
2025-03-01T01:00:00,JC115,JC052,1
2025-03-01T02:00:00,HB101,HB402,1
2025-03-01T02:00:00,HB101,HB407,1
2025-03-01T02:00:00,HB105,HB408,1
2025-03-01T02:00:00,HB203,HB409,1
2025-03-01T02:00:00,HB407,JC074,1
2025-03-01T02:00:00,HB409,HB102,1
2025-03-01T02:00:00,HB409,HB505,1
2025-03-01T02:00:00,HB502,HB408,1
2025-03-01T02:00:00,HB601,HB611,2
2025-03-01T02:00:00,HB602,HB502,1
2025-03-01T02:00:00,HB608,JC105,1
2025-03-01T02:00:00,HB611,HB105,1
2025-03-01T02:00:00,JC006,JC052,1
2025-03-01T02:00:00,JC009,JC003,1
2025-03-01T02:00:00,JC014,JC072,1
2025-03-01T02:00:00,JC018,JC019,1
2025-03-01T02:00:00,JC066,JC009,2
2025-03-01T02:00:00,JC066,JC081,1
2025-03-01T02:00:00,JC098,JC006,1
2025-03-01T02:00:00,JC109,JC055,1
2025-03-01T02:00:00,JC115,HB401,1
2025-03-01T02:00:00,JC115,JC035,1
2025-03-01T03:00:00,HB102,HB202,1
2025-03-01T03:00:00,HB105,HB501,1
2025-03-01T03:00:00,HB609,HB502,1
2025-03-01T03:00:00,JC003,JC020,1
2025-03-01T03:00:00,JC022,JC097,1
2025-03-01T03:00:00,JC057,,1
2025-03-01T03:00:00,JC057,JC022,1
2025-03-01T03:00:00,JC097,JC022,2
2025-03-01T03:00:00,JC103,JC080,1
2025-03-01T03:00:00,JC103,JC095,1
2025-03-01T03:00:00,JC115,JC003,1
2025-03-01T03:00:00,JC115,JC032,1
2025-03-01T03:00:00,JC115,JC110,1
2025-03-01T03:00:00,JC116,JC063,1
2025-03-01T04:00:00,HB303,HB101,1
2025-03-01T04:00:00,HB408,JC034,1
2025-03-01T04:00:00,HB502,HB102,1
2025-03-01T04:00:00,JC020,JC109,1
2025-03-01T04:00:00,JC115,JC023,1
2025-03-01T05:00:00,HB102,HB502,1
2025-03-01T05:00:00,HB305,HB101,1
2025-03-01T05:00:00,JC027,JC032,1
2025-03-01T05:00:00,JC034,JC115,1
2025-03-01T05:00:00,JC063,JC077,2
2025-03-01T05:00:00,JC078,JC115,2
2025-03-01T05:00:00,JC093,JC109,2
2025-03-01T05:00:00,JC095,JC109,2
2025-03-01T06:00:00,HB101,HB602,1
2025-03-01T06:00:00,HB401,JC080,1
2025-03-01T06:00:00,HB508,HB305,1
2025-03-01T06:00:00,JC006,JC022,1
2025-03-01T06:00:00,JC008,HB401,1
2025-03-01T06:00:00,JC008,HB506,1
2025-03-01T06:00:00,JC008,JC027,1
2025-03-01T06:00:00,JC013,JC027,1
2025-03-01T06:00:00,JC020,JC082,1
2025-03-01T06:00:00,JC020,JC115,1
2025-03-01T06:00:00,JC023,JC115,1
2025-03-01T06:00:00,JC032,JC066,1
2025-03-01T06:00:00,JC065,JC103,1
2025-03-01T06:00:00,JC081,JC019,1
2025-03-01T06:00:00,JC099,JC116,1
2025-03-01T06:00:00,JC108,JC115,1
2025-03-01T07:00:00,HB101,HB401,1
2025-03-01T07:00:00,HB105,HB305,1
2025-03-01T07:00:00,HB201,HB609,1
2025-03-01T07:00:00,HB203,HB305,1
2025-03-01T07:00:00,HB302,HB102,1
2025-03-01T07:00:00,HB303,HB101,1
2025-03-01T07:00:00,HB304,HB102,1
2025-03-01T07:00:00,HB304,HB201,1
2025-03-01T07:00:00,HB304,HB408,1
2025-03-01T07:00:00,HB402,HB105,1
2025-03-01T07:00:00,HB407,HB408,1
2025-03-01T07:00:00,HB408,HB608,1
2025-03-01T07:00:00,HB501,HB601,1
2025-03-01T07:00:00,HB502,HB102,1
2025-03-01T07:00:00,HB508,HB102,1
2025-03-01T07:00:00,HB601,HB101,1
2025-03-01T07:00:00,HB610,HB102,1
2025-03-01T07:00:00,HB611,HB101,1
2025-03-01T07:00:00,JC006,JC013,1
2025-03-01T07:00:00,JC008,JC006,1
2025-03-01T07:00:00,JC009,JC027,2
2025-03-01T07:00:00,JC009,JC066,1
2025-03-01T07:00:00,JC013,JC014,1
2025-03-01T07:00:00,JC013,JC074,1
2025-03-01T07:00:00,JC022,JC075,1
2025-03-01T07:00:00,JC023,JC115,1
2025-03-01T07:00:00,JC027,JC032,1
2025-03-01T07:00:00,JC034,JC104,1
2025-03-01T07:00:00,JC053,JC109,1
2025-03-01T07:00:00,JC055,JC109,1
2025-03-01T07:00:00,JC065,JC103,1
2025-03-01T07:00:00,JC066,JC115,1
2025-03-01T07:00:00,JC072,HB103,1
2025-03-01T07:00:00,JC074,JC082,1
2025-03-01T07:00:00,JC075,JC006,1
2025-03-01T07:00:00,JC077,JC063,2
2025-03-01T07:00:00,JC078,JC097,1
2025-03-01T07:00:00,JC080,HB101,1
2025-03-01T07:00:00,JC080,HB202,1
2025-03-01T07:00:00,JC080,JC080,1
2025-03-01T07:00:00,JC082,JC116,1
2025-03-01T07:00:00,JC102,JC014,1
2025-03-01T07:00:00,JC102,JC066,1
2025-03-01T07:00:00,JC102,JC102,1
2025-03-01T07:00:00,JC110,JC014,1
2025-03-01T07:00:00,JC115,JC081,1
2025-03-01T08:00:00,HB102,HB501,1
2025-03-01T08:00:00,HB102,HB506,1
2025-03-01T08:00:00,HB201,HB101,1
2025-03-01T08:00:00,HB201,HB103,1
2025-03-01T08:00:00,HB201,HB305,1
2025-03-01T08:00:00,HB201,HB610,1
2025-03-01T08:00:00,HB201,JC014,1
2025-03-01T08:00:00,HB202,HB408,1
2025-03-01T08:00:00,HB202,JC080,1
2025-03-01T08:00:00,HB301,HB102,1
2025-03-01T08:00:00,HB302,HB101,2
2025-03-01T08:00:00,HB302,HB610,1
2025-03-01T08:00:00,HB303,HB101,1
2025-03-01T08:00:00,HB303,HB102,1
2025-03-01T08:00:00,HB304,HB201,1
2025-03-01T08:00:00,HB305,HB508,1
2025-03-01T08:00:00,HB401,JC006,1
2025-03-01T08:00:00,HB401,JC014,1
2025-03-01T08:00:00,HB402,HB408,1
2025-03-01T08:00:00,HB402,JC035,1
2025-03-01T08:00:00,HB404,HB101,2
2025-03-01T08:00:00,HB404,HB305,1
2025-03-01T08:00:00,HB407,HB105,1
2025-03-01T08:00:00,HB408,HB101,2
2025-03-01T08:00:00,HB408,HB304,1
2025-03-01T08:00:00,HB408,HB407,1
2025-03-01T08:00:00,HB408,HB506,1
2025-03-01T08:00:00,HB409,JC075,1
2025-03-01T08:00:00,HB501,HB303,1
2025-03-01T08:00:00,HB501,HB305,1
2025-03-01T08:00:00,HB501,HB603,1
2025-03-01T08:00:00,HB501,JC006,1
2025-03-01T08:00:00,HB502,HB502,1
2025-03-01T08:00:00,HB502,HB609,1
2025-03-01T08:00:00,HB508,HB101,1
2025-03-01T08:00:00,HB602,HB602,1
2025-03-01T08:00:00,HB609,HB201,1
2025-03-01T08:00:00,JC003,JC116,1
2025-03-01T08:00:00,JC006,JC008,2
2025-03-01T08:00:00,JC006,JC074,1
2025-03-01T08:00:00,JC006,JC115,1
2025-03-01T08:00:00,JC008,JC006,1
